Name;SKU;ASIN;FBA stock;ROI,%;apr-24;;;;;Totals;;;;
;;;;;Sales;Quantity;Net profit;Refunds;% Refunds;Sales;Quantity;Refunds;% Refunds;Budget
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Camo Green;G2-8BYT-BTMD;B07VYVYYRX;0;-196;2,781.65;215;-986.86;1;0.47;2,781.65;215;1;0.47;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Black Zebra;1514-FBM;B07P15RVRP;0;38;2,771.30;214;189.81;3;1.40;2,771.30;214;3;1.40;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size White Stripes;1521;B0BSLQQ95W;0;82;1,424.50;110;210.15;1;0.91;1,424.50;110;1;0.91;
SmellWell - 4-Pack Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 8 x 1.8oz Original Size Black Zebra;1514-4-FBM;B0CXJ1T6QJ;52;238;1,158.55;29;645.49;0;0.00;1,158.55;29;0;0.00;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Pink Zebra;72-51XS-IH64;B07VYVYPBW;0;-118;1,033.40;80;-228.91;1;1.25;1,033.40;80;1;1.25;
SmellWell - 3-Pack Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for Shoes, Bags, Gloves - 6 x 1.8oz Original Size Black Zebra;1514-3-FBM;B09739J698;55;265;591.20;16;297.98;0;0.00;591.20;16;0;0.00;
SmellWell Freshener Bag - Black - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and smaller gear fresh longer;6009;B09FVML51L;0;157;466.15;17;192.79;1;5.88;466.15;17;1;5.88;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Black Zebra;HW-L5A0-F1BN;B07P15RVRP;953;-115;437.70;34;-91.22;0;0.00;437.70;34;0;0.00;
SmellWell Freshener Bag XL - Blue - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and gear fresh longer;6110-FBM;B09FVPY15K;11;209;174.75;5;95.68;0;0.00;174.75;5;0;0.00;
SmellWell Freshener Bag - Blue - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and smaller gear fresh longer;6010-FBM;B09FVNGXCS;47;173;136.75;5;62.30;0;0.00;136.75;5;0;0.00;
SmellWell Freshener Bag - Pink - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and smaller gear fresh longer;6011;B09FVLL86F;0;172;133.75;5;61.85;0;0.00;133.75;5;0;0.00;
SmellWell Freshener Bag - Hawaii Floral - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and smaller gear fresh longer;6013;B09FVN87PX;0;172;83.85;3;37.28;0;0.00;83.85;3;0;0.00;
SmellWell Freshener Bag - Blue - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and smaller gear fresh longer;6010;B09FVNGXCS;0;174;80.85;3;37.70;0;0.00;80.85;3;0;0.00;
SmellWell Freshener Bag - Orange - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and smaller gear fresh longer;6012;B09FVKGRKC;0;177;52.90;2;25.51;0;0.00;52.90;2;0;0.00;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Hawaii Floral;RX-EN0R-CPO2;B07VZW1YK6;150;142;38.85;3;9.95;0;0.00;38.85;3;0;0.00;
SmellWell Freshener Bag - Orange - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and smaller gear fresh longer;6012-FBM;B09FVKGRKC;84;170;27.95;1;12.23;0;0.00;27.95;1;0;0.00;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Geometric Orange;1516;B07W43Q5VL;171;-181;12.95;1;-4.24;1;100.00;12.95;1;1;100.00;
SmellWell Freshener Bag - Black - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and smaller gear fresh longer;6009-FBM;B09FVML51L;0;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
SmellWell Freshener Bag - Hawaii Floral - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and smaller gear fresh longer;6013-FBM;B09FVN87PX;0;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for Shoes, Bags, Gloves - 2 x 1.8oz Original Size Hawaii Floral;FBA178QC24LL.MISSING1;B07N789J5K;0;0;0.00;0;-2.13;0;0.00;0.00;0;0;0.00;
SmellWell Odor Eliminating Air Purifying Bags (1 Pack | 100g) Activated Bamboo Charcoal Air Freshener for use from Gym to Car to Home (Maxi);412;B09L58BYS2;0;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Silver;1711;B0BSLQF537;0;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Black Zebra;FBA178QC24LL.MISSING3;B07P15RVRP;953;119;0.00;0;-8.32;0;0.00;0.00;0;0;0.00;
SmellWell Odour Eliminating Air Purifying Bags (2 Pack | 250g) Activated Bamboo Charcoal Air Freshener for use from Gym to Car to Home (Black Stone, XL);2511;B07P3FHFTF;0;0;0.00;0;-17.82;1;0.00;0.00;0;1;0.00;
SmellWell Odor Eliminating Air Purifying Bags (2 Pack | 250g XL) Activated Bamboo Charcoal Air Freshener for use from Gym to Car to Home (Green, Unscented XL);HJ-244K-3P1V;B07VVMRQS7;0;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2;HW-L5A0-F1BN;B07VWSMRBH;953;0;0.00;0;-1.69;0;0.00;0.00;0;0;0.00;
SmellWell Odor Eliminating Air Purifying Bags (2 Pack | 100g) Activated Bamboo Charcoal Air Freshener for use from Gym to Car to Home (Blue, Unscented);3W-7YOB-UPKF;B07VWSN19P;0;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
SmellWell - XL Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshener Inserts for Shoes, Boots, Bags, Cars - 2 x 4.4oz XL Size Camo Grey;4X-K06O-8IQX;B07VXS6L9F;0;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
SmellWell Odor Eliminating Air Purifying Bags (2 Pack | 100g) Activated Bamboo Charcoal Air Freshener for use from Gym to Car to Home (Black Stone, Original XL);QD-H3G1-3WUG;B07VYVGRM6;0;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
SmellWell XL Sensitive Odor Eliminator + Shoe deodorizer (2 Pack, 250g) Activated Bamboo Charcoal + Minerals - Air Purifying Bags - Natural Freshener Inserts for shoes, boots, bags, cars and more;0W-2F1R-0PDW;B07VYVYPBV;0;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
SmellWell - XL Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshener Inserts for Shoes, Boots, Bags, Cars - 2 x 4.4oz XL Size Tropical Floral;2510;B07W44PRLN;0;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
SmellWell - XL Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshener Inserts for Shoes, Boots, Bags, Cars - 2 x 4.4oz XL Size Silver Grey;BT-FOQ3-UXY1;B07W7LQYSZ;0;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
SmellWell - 3-Pack Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 6 x 1.8oz Original Size Hawaii Floral;1509-3;B097393QB6;53;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
SmellWell - 3-Pack Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for Shoes, Bags, Gloves - 6 x 1.8oz Original Size Black Zebra;1514-3;B09739J698;0;0;0.00;0;-0.04;0;0.00;0.00;0;0;0.00;
SmellWell Freshener Bag XL - Camouflage - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and gear fresh longer;6114-FBM;B09FVG1X9C;0;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
SmellWell Freshener Bag XL - Pink - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and gear fresh longer;6111-FBM;B09FVG3G82;0;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
SmellWell Freshener Bag XL - Hawaii Floral - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and gear fresh longer;6113-FBM;B09FVK5BG3;0;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
SmellWell Freshener Bag XL - Orange - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and gear fresh longer;6112-FBM;B09FVKZSTS;39;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
SmellWell Odor Eliminating Air Purifying Bags (1 Pack | 100g) Activated Bamboo Charcoal Air Freshener for use from Gym to Car to Home (Maxi);412;B09L58BYS2;0;0;0.00;0;-0.03;0;0.00;0.00;0;0;0.00;
Totals;0.00;0.00;0.00;0.00;11,407.05;743;536.98;9;1.21;11,407.05;743;9;1.21;12,261
